FileName,Fall_ADL,Fall_ADL2,Type_of_Movement,Description_of_movement,Age,Height,Weight,Gender,var_X,mean_X,std_X,max_X,min_X,range_X,var_Y,mean_Y,std_Y,max_Y,min_Y,range_Y,var_Z,mean_Z,std_Z,max_Z,min_Z,range_Z,var_N_XYZ,mean_N_XYZ,std_N_XYZ,max_N_XYZ,min_N_XYZ,range_N_XYZ,var_N_HOR,mean_N_HOR,std_N_HOR,max_N_HOR,min_N_HOR,range_N_HOR,var_N_VER,mean_N_VER,std_N_VER,max_N_VER,min_N_VER,range_N_VER,corr_XY,corr_XZ,corr_YZ,corr_NV,corr_NH,corr_HV
ADL_Aplausing\D10_U01_R01_accel.csv,D,D,ADL,Aplausing,22,176,56.3,M,52.077863063063056,3.3746666666666663,7.216499363476938,18.4,-23.5,41.9,28.166846846846838,-7.206666666666667,5.307244750983964,9.8,-31.9,41.7,82.04501981981981,0.18933333333333324,9.057870600743854,33.7,-15.0,48.7,38.81431294580752,13.608429173131501,6.230113397507908,52.014901710952024,7.390534486760751,44.624367224191275,33.71099385951106,11.289497452290886,5.806116934708693,46.40366364846638,2.5019992006393608,43.90166444782702,35.11790859772093,10.445531589324787,5.926036499864047,41.084546973284255,1.6278820596099708,39.45666491367428,0.5277531372536706,-0.498663230485066,-0.42533743062783586,0.8701591693978993,0.8775894315890318,0.6467169133465428
ADL_Aplausing\D10_U01_R02_accel.csv,D,D,ADL,Aplausing,22,176,56.3,M,43.03391711711712,6.601333333333334,6.560024170467448,18.6,-21.2,39.8,13.84434954954955,-6.574666666666666,3.720799584706162,3.4,-18.4,21.799999999999997,118.35299819819822,-1.5413333333333332,10.87901641685489,39.2,-18.5,57.7,56.291444198025985,14.37127372195245,7.50276243779756,45.67362477404219,8.809653795694812,36.863970978347375,54.202026034252604,11.070561607835021,7.362202526027969,40.455407549547694,3.492849839314596,36.9625577102331,57.44493504705068,12.186443181677062,7.579243698882539,44.56545747549328,2.2135943621178655,42.351863113375416,-0.06228023748021854,-0.8310582283868787,-0.03465340067346097,0.9584661181918062,0.9684771953834175,0.9149153235339013
ADL_Aplausing\D10_U01_R03_accel.csv,D,D,ADL,Aplausing,22,176,56.3,M,60.423506306306315,5.730666666666666,7.773255836926141,16.8,-20.8,37.6,29.0428,-7.451999999999998,5.389137222227691,6.2,-25.6,31.8,159.98613333333333,-3.714666666666666,12.648562500669131,39.2,-36.4,75.6,54.980790925592075,17.147894514684573,7.414903298465333,46.91481642295961,8.254695633395576,38.66012078956403,68.35213100745374,13.725845356090543,8.26753475997856,46.8187996428785,2.1213203435596424,44.69747929931886,60.98321701129847,14.280757188685254,7.809175181240236,40.08989897717379,0.9486832980505138,39.14121567912328,0.2749531774840062,0.293498697993895,-0.3205994635623416,0.9168974762958017,0.9038776175639568,0.7419814172121855
ADL_Aplausing\D10_U02_R01_accel.csv,D,D,ADL,Aplausing,22,178,56.0,M,3.963776576576577,6.730666666666667,1.9909235486518755,11.8,2.0,9.8,12.691452252252253,-1.3826666666666665,3.5625064564506057,6.6,-11.8,18.4,50.772349549549546,7.218666666666667,7.125471882587815,34.2,-0.9,35.1,33.36917066772759,11.529400892551852,5.776605462356555,34.97785013404912,3.352610922848042,31.625239211201077,47.59873528142766,8.347122130151089,6.899183667755748,34.812210501489275,0.7,34.11221050148927,31.966855231303853,10.948821984051383,5.653923879157187,34.3685903115039,2.8284271247461903,31.54016318675771,0.11597444150011339,-0.2877191346633728,-0.5029632326536468,0.9913136053519375,0.9607583249412889,0.9469489503528481
ADL_Aplausing\D10_U02_R02_accel.csv,D,D,ADL,Aplausing,22,178,56.0,M,5.255740540540541,6.256,2.2925401938767704,11.3,1.9,9.4,13.638965765765764,1.1426666666666665,3.693097042560047,8.1,-6.2,14.3,77.95332252252253,7.978666666666666,8.829117879070509,30.3,-3.4,33.7,47.078133895499846,12.377747825154092,6.861350734039169,32.25972721521371,3.8999999999999995,28.35972721521371,57.76398323966091,9.916757023856198,7.600262050723048,30.46850833237492,1.16619037896906,29.30231795340586,52.79996190845728,11.523901433556354,7.266358228745489,32.10062304691297,1.91049731745428,30.190125729458693,-0.2932824387227634,0.18419139450718613,-0.521720951378211,0.9918343543543274,0.9725681145987997,0.9539913316317077
ADL_Aplausing\D10_U02_R03_accel.csv,D,D,ADL,Aplausing,22,178,56.0,M,7.248659459459458,5.516,2.692333459930151,12.7,-4.0,16.7,6.2034846846846845,-2.738666666666667,2.4906795628271183,8.2,-7.6,15.799999999999999,54.33818738738739,7.421333333333335,7.371444050346404,37.2,-3.1,40.300000000000004,33.39680290709817,11.266662673495192,5.77899670419513,37.495866438848964,3.2511536414017717,34.24471279744719,45.296041365806445,8.810155457523871,6.7302333812288,37.27103432962386,1.2206555615733703,36.050378768050486,34.18019363663331,10.60866040609535,5.846382953299699,37.42525885014024,3.1953090617340916,34.229949788406145,-0.24163163752994832,-0.5103629311971905,0.11735462762860499,0.9930182288151198,0.9567102682757938,0.9482166447117775
ADL_Aplausing\D10_U03_R01_accel.csv,D,D,ADL,Aplausing,20,173,69.5,M,29.565290090090095,5.889333333333335,5.437397363637322,17.1,-19.4,36.5,3.22129009009009,-6.6706666666666665,1.7947952780442926,-3.6,-14.1,10.5,46.73809729729729,2.2880000000000003,6.836526698353286,36.1,-8.6,44.7,21.73204866147621,11.892814861111596,4.661764543761966,39.97574264475896,8.298192574289898,31.67755007046906,23.276965695138845,8.721203692579541,4.824620782521549,38.75590277622236,4.242640687119285,34.51326208910307,23.86240282568583,9.573973184907262,4.884915846325894,37.406550228536176,3.5510561809129406,33.85549404762324,0.4334640261290995,-0.6000989881924044,-0.5688083654299354,0.9707397635237446,0.8521163536376939,0.7481088834097884
ADL_Aplausing\D10_U03_R02_accel.csv,D,D,ADL,Aplausing,20,173,69.5,M,44.83447927927928,6.689333333333333,6.69585538070225,25.7,-17.5,43.2,6.750854054054055,-6.868,2.5982405689339187,-1.0,-17.1,16.1,69.69791711711711,1.7786666666666668,8.348527841309336,33.4,-11.0,44.4,35.870890360695576,13.39230331860233,5.989231199469225,41.403139977542764,8.337865434270332,33.06527454327243,34.24147893615891,9.590495683209316,5.851621906459688,37.52292632511489,3.721558813185679,33.80136751192921,36.17165539065225,11.190476606526781,6.014287604583958,37.706895921038104,3.920459156782532,33.78643676425557,0.5278545168607308,-0.7527479721589349,-0.30771747715819103,0.976510962122297,0.838539983927498,0.7618141732985059
ADL_Aplausing\D10_U03_R03_accel.csv,D,D,ADL,Aplausing,20,173,69.5,M,68.69134414414414,6.8306666666666676,8.28802413993493,29.1,-26.2,55.3,5.960360360360361,-6.433333333333334,2.441384926708683,-0.8,-16.7,15.899999999999999,92.88983063063063,2.1173333333333333,9.637937052638943,36.0,-12.7,48.7,62.69838150718302,13.999076049734356,7.918230958186495,46.49731175025068,7.313685801290619,39.183625948960064,49.578134696226485,9.720389589228915,7.041174241291468,38.41301862650214,3.3105890714493698,35.102429555052765,66.51682146510822,12.039017242052049,8.155784540135192,44.52459994205451,3.3541019662496847,41.17049797580482,0.3869786345479538,-0.893914507140888,-0.41353148418200103,0.9860383983743355,0.8864983020755662,0.845285444143485
ADL_Aplausing\D10_U04_R01_accel.csv,D,D,ADL,Aplausing,21,170,57.1,F,87.66033513513513,6.444,9.362709817949883,31.0,-22.4,53.4,80.41334414414413,-3.750666666666667,8.967348780110214,12.3,-29.1,41.400000000000006,169.26204684684683,0.32266666666666644,13.010074820954983,35.0,-24.9,59.9,73.63175327888526,17.773144631667368,8.580894666576746,45.5181282567726,5.90846849868898,39.609659758083616,61.46366002999354,14.1376750364787,7.839876276446812,45.51713962893538,2.483948469674844,43.03319115926054,64.85683984113122,15.203089094766804,8.053374438155178,35.00128569067142,4.525483399593905,30.475802291077517,0.38821011809189276,-0.032648971981875115,-0.20234660238727717,0.9303058308153492,0.8879341354289045,0.756663371907366
